relation,identifier,scheme
isIdenticalTo,https://doi.org/10.17632/s5jtdh2nnb.1,doi
isIdenticalTo,https://github.com/juanmoisesd/colombia-economic-impact-database-indicators-2024-2025,url
isSupplementTo,https://orcid.org/0000-0002-8401-8018,orcid
